시도,시군구,관광명소수,음식점수,쇼핑점수,인구수
강원도,강릉시,22,703,69,213189
강원도,강릉시,31,95,7,213189
강원도,강릉시,25,16,5,213189
강원도,강릉시,20,38,3,213189
강원도,강릉시,38,200,30,213189
강원도,강릉시,13,101,22,213189
강원도,강릉시,30,131,17,213189
강원도,강릉시,41,156,30,213189
강원도,강릉시,6,157,15,213189
강원도,강릉시,6,528,29,213189
강원도,강릉시,1,359,23,213189
강원도,강릉시,1,508,15,213189
강원도,강릉시,7,121,16,213189
강원도,강릉시,1,407,26,213189
강원도,강릉시,4,257,20,213189
강원도,강릉시,13,235,12,213189
강원도,강릉시,3,99,14,213189
강원도,강릉시,4,195,18,213189
강원도,강릉시,14,216,35,213189
강원도,강릉시,3,244,30,213189
강원도,강릉시,31,209,26,213189
강원도,고성군,10,211,20,26798
강원도,고성군,29,186,30,26798
강원도,고성군,15,77,21,26798
강원도,고성군,24,143,23,26798
강원도,고성군,29,215,23,26798
강원도,동해시,11,731,38,90560
강원도,동해시,3,128,15,90560
강원도,동해시,3,376,35,90560
강원도,동해시,6,116,21,90560
강원도,동해시,5,94,16,90560
강원도,동해시,2,133,27,90560
강원도,동해시,5,164,28,90560
강원도,동해시,13,179,31,90560
강원도,동해시,21,52,22,90560
강원도,동해시,18,64,14,90560
강원도,삼척시,21,208,32,65409
강원도,삼척시,17,238,21,65409
강원도,삼척시,43,168,30,65409
강원도,삼척시,5,22,9,65409
강원도,삼척시,2,9,2,65409
강원도,삼척시,9,17,4,65409
강원도,삼척시,11,12,8,65409
강원도,삼척시,3,32,3,65409
강원도,삼척시,5,429,35,65409
강원도,삼척시,11,224,19,65409
강원도,삼척시,6,142,21,65409
강원도,삼척시,5,173,25,65409
강원도,속초시,9,180,18,82636
강원도,속초시,8,214,11,82636
강원도,속초시,11,412,31,82636
강원도,속초시,,272,21,82636
강원도,속초시,14,617,46,82636
강원도,속초시,7,320,26,82636
강원도,속초시,8,231,26,82636
강원도,속초시,32,465,31,82636
강원도,양구군,45,387,35,22350
강원도,양구군,8,65,10,22350
강원도,양구군,10,39,10,22350
강원도,양구군,7,36,8,22350
강원도,양구군,6,24,5,22350
강원도,양양군,24,315,36,27926
강원도,양양군,40,78,9,27926
강원도,양양군,8,88,6,27926
강원도,양양군,17,95,24,27926
강원도,양양군,24,142,18,27926
강원도,양양군,23,285,34,27926
강원도,영월군,41,495,80,38710
강원도,영월군,6,19,6,38710
강원도,영월군,8,16,6,38710
강원도,영월군,14,53,13,38710
강원도,영월군,4,37,6,38710
강원도,영월군,10,21,6,38710
강원도,영월군,9,43,12,38710
강원도,영월군,15,113,18,38710
강원도,영월군,14,30,5,38710
강원도,원주시,12,447,28,353928
강원도,원주시,35,210,26,353928
강원도,원주시,21,52,20,353928
강원도,원주시,19,264,16,353928
강원도,원주시,24,50,9,353928
강원도,원주시,25,42,4,353928
강원도,원주시,23,234,18,353928
강원도,원주시,26,177,13,353928
강원도,원주시,28,114,17,353928
강원도,원주시,4,407,26,353928
강원도,원주시,,97,15,353928
강원도,원주시,2,255,24,353928
강원도,원주시,7,151,18,353928
강원도,원주시,,197,26,353928
강원도,원주시,4,906,52,353928
강원도,원주시,3,228,23,353928
강원도,원주시,3,75,15,353928
강원도,원주시,3,940,39,353928
강원도,원주시,3,333,31,353928
강원도,원주시,9,72,13,353928
강원도,원주시,8,314,25,353928
강원도,원주시,6,165,20,353928
강원도,원주시,16,119,8,353928
강원도,원주시,5,550,37,353928
강원도,원주시,6,638,33,353928
강원도,인제군,25,275,34,31623
강원도,인제군,9,121,10,31623
강원도,인제군,52,343,30,31623
강원도,인제군,17,134,21,31623
강원도,인제군,5,92,18,31623
강원도,인제군,15,48,10,31623
강원도,정선군,32,303,46,36937
강원도,정선군,6,193,26,36937
강원도,정선군,13,223,26,36937
강원도,정선군,15,68,15,36937
강원도,정선군,9,88,22,36937
강원도,정선군,14,47,11,36937
강원도,정선군,14,80,17,36937
강원도,정선군,23,39,12,36937
강원도,정선군,12,51,16,36937
